DX DESCRIPTION,CUI
"Brown-Sequard syndrome at T1 level of thoracic spinal cord, subsequent encounter",NONE
"Brown-Sequard syndrome at T1 level of thoracic spinal cord, sequela",NONE
"Brown-Sequard syndrome at T2-T6 level of thoracic spinal cord, initial encounter",NONE
"Brown-Sequard syndrome at T2-T6 level of thoracic spinal cord, subsequent encounter",NONE
"Brown-Sequard syndrome at T2-T6 level of thoracic spinal cord, sequela",NONE
"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, initial encounter",NONE
"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, subsequent encounter",NONE
"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, sequela",NONE
"Brown-Sequard syndrome at T11-T12 level of thoracic spinal cord, initial encounter",NONE
"Brown-Sequard syndrome at T11-T12 level of thoracic spinal cord, subsequent encounter",NONE
"Brown-Sequard syndrome at T11-T12 level of thoracic spinal cord, sequela",NONE
"Brown-Sequard syndrome at unspecified level of thoracic spinal cord, initial encounter",NONE
"Brown-Sequard syndrome at unspecified level of thoracic spinal cord, subsequent encounter",NONE
"Brown-Sequard syndrome at unspecified level of thoracic spinal cord, sequela",NONE
"Other incomplete lesion at T1 level of thoracic spinal cord, initial encounter",C2835841
"Other incomplete lesion at T1 level of thoracic spinal cord, subsequent encounter",C2835842
"Other incomplete lesion at T1 level of thoracic spinal cord, sequela",C2835843
"Other incomplete lesion at T2-T6 level of thoracic spinal cord, initial encounter",C2835845
"Other incomplete lesion at T2-T6 level of thoracic spinal cord, subsequent encounter",C2835846
"Other incomplete lesion at T2-T6 level of thoracic spinal cord, sequela",C2835847
"Other incomplete lesion at T7-T10 level of thoracic spinal cord, initial encounter",C2835849
"Other incomplete lesion at T7-T10 level of thoracic spinal cord, subsequent encounter",C2835850
"Other incomplete lesion at T7-T10 level of thoracic spinal cord, sequela",C2835851
"Other incomplete lesion at T11-T12 level of thoracic spinal cord, initial encounter",C2835853
"Other incomplete lesion at T11-T12 level of thoracic spinal cord, subsequent encounter",C2835854
"Other incomplete lesion at T11-T12 level of thoracic spinal cord, sequela",C2835855
"Other incomplete lesion at unspecified level of thoracic spinal cord, initial encounter",C2835857
"Other incomplete lesion at unspecified level of thoracic spinal cord, subsequent encounter",C2835858
"Other incomplete lesion at unspecified level of thoracic spinal cord, sequela",C2835859
"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for closed fracture",C2837445
"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for open fracture",C2837446
"Stable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",C2837452
"Stable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",C2837453
"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",C2837459
"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",C2837460
"Other fracture of unspecified lumbar vertebra, initial encounter for closed fracture",C2837466
"Other fracture of unspecified lumbar vertebra, initial encounter for open fracture",C2837467
"Unspecified fracture of unspecified lumbar vertebra, initial encounter for closed fracture",C2837473
"Unspecified fracture of unspecified lumbar vertebra, initial encounter for open fracture",C2837474
"Wedge compression fracture of first lumbar vertebra, initial encounter for closed fracture",C2837481
"Wedge compression fracture of first lumbar vertebra, initial encounter for open fracture",C2837482
"Stable burst fracture of first lumbar vertebra, initial encounter for closed fracture",C2837488
"Stable burst fracture of first lumbar vertebra, initial encounter for open fracture",C2837489
"Unstable burst fracture of first lumbar vertebra, initial encounter for closed fracture",C2837495
"Unstable burst fracture of first lumbar vertebra, initial encounter for open fracture",C2837496
"Other fracture of first lumbar vertebra, initial encounter for closed fracture",C2837502
"Other fracture of first lumbar vertebra, initial encounter for open fracture",C2837503
"Unspecified fracture of first lumbar vertebra, initial encounter for closed fracture",C2837509
"Unspecified fracture of first lumbar vertebra, initial encounter for open fracture",C2837510
"Wedge compression fracture of second lumbar vertebra, initial encounter for closed fracture",C2837517
"Wedge compression fracture of second lumbar vertebra, initial encounter for open fracture",C2837518
"Stable burst fracture of second lumbar vertebra, initial encounter for closed fracture",C2837524
"Stable burst fracture of second lumbar vertebra, initial encounter for open fracture",C2837525
"Unstable burst fracture of second lumbar vertebra, initial encounter for closed fracture",C2837531
"Unstable burst fracture of second lumbar vertebra, initial encounter for open fracture",C2837532
"Other fracture of second lumbar vertebra, initial encounter for closed fracture",C2837538
"Other fracture of second lumbar vertebra, initial encounter for open fracture",C2837539
"Unspecified fracture of second lumbar vertebra, initial encounter for closed fracture",C2837545
"Unspecified fracture of second lumbar vertebra, initial encounter for open fracture",C2837546
"Wedge compression fracture of third lumbar vertebra, initial encounter for closed fracture",C2837553
"Wedge compression fracture of third lumbar vertebra, initial encounter for open fracture",C2837554
"Stable burst fracture of third lumbar vertebra, initial encounter for closed fracture",C2837560
"Stable burst fracture of third lumbar vertebra, initial encounter for open fracture",C2837561
"Unstable burst fracture of third lumbar vertebra, initial encounter for closed fracture",C2837567
"Unstable burst fracture of third lumbar vertebra, initial encounter for open fracture",C2837568
"Other fracture of third lumbar vertebra, initial encounter for closed fracture",C2837574
"Other fracture of third lumbar vertebra, initial encounter for open fracture",C2837575
"Unspecified fracture of third lumbar vertebra, initial encounter for closed fracture",C2837581
"Unspecified fracture of third lumbar vertebra, initial encounter for open fracture",C2837582
"Wedge compression fracture of fourth lumbar vertebra, initial encounter for closed fracture",C2837589
"Wedge compression fracture of fourth lumbar vertebra, initial encounter for open fracture",C2837590
"Stable burst fracture of fourth lumbar vertebra, initial encounter for closed fracture",C2837596
"Stable burst fracture of fourth lumbar vertebra, initial encounter for open fracture",C2837597
"Unstable burst fracture of fourth lumbar vertebra, initial encounter for closed fracture",C2837603
"Unstable burst fracture of fourth lumbar vertebra, initial encounter for open fracture",C2837604
"Other fracture of fourth lumbar vertebra, initial encounter for closed fracture",C2837610
"Other fracture of fourth lumbar vertebra, initial encounter for open fracture",C2837611
"Unspecified fracture of fourth lumbar vertebra, initial encounter for closed fracture",C2837617
"Unspecified fracture of fourth lumbar vertebra, initial encounter for open fracture",C2837618
"Wedge compression fracture of fifth lumbar vertebra, initial encounter for closed fracture",C2837625
"Wedge compression fracture of fifth lumbar vertebra, initial encounter for open fracture",C2837626
"Stable burst fracture of fifth lumbar vertebra, initial encounter for closed fracture",C2837632
"Stable burst fracture of fifth lumbar vertebra, initial encounter for open fracture",C2837633
"Unstable burst fracture of fifth lumbar vertebra, initial encounter for closed fracture",C2837639
"Unstable burst fracture of fifth lumbar vertebra, initial encounter for open fracture",C2837640
"Other fracture of fifth lumbar vertebra, initial encounter for closed fracture",C2837646
"Other fracture of fifth lumbar vertebra, initial encounter for open fracture",C2837647
"Unspecified fracture of fifth lumbar vertebra, initial encounter for closed fracture",C2837653
"Unspecified fracture of fifth lumbar vertebra, initial encounter for open fracture",C2837654
"Unspecified fracture of sacrum, initial encounter for closed fracture",C2837660
"Unspecified fracture of sacrum, initial encounter for open fracture",C2837661
"Nondisplaced Zone I fracture of sacrum, initial encounter for closed fracture",C2837669
"Nondisplaced Zone I fracture of sacrum, initial encounter for open fracture",C2837670
"Minimally displaced Zone I fracture of sacrum, initial encounter for closed fracture",C2837676
"Minimally displaced Zone I fracture of sacrum, initial encounter for open fracture",C2837677
"Severely displaced Zone I fracture of sacrum, initial encounter for closed fracture",C2837683
"Severely displaced Zone I fracture of sacrum, initial encounter for open fracture",C2837684
"Unspecified Zone I fracture of sacrum, initial encounter for closed fracture",C2837690
"Unspecified Zone I fracture of sacrum, initial encounter for open fracture",C2837691
"Nondisplaced Zone II fracture of sacrum, initial encounter for closed fracture",C2837699
"Nondisplaced Zone II fracture of sacrum, initial encounter for open fracture",C2837700
"Minimally displaced Zone II fracture of sacrum, initial encounter for closed fracture",C2837706
"Minimally displaced Zone II fracture of sacrum, initial encounter for open fracture",C2837707
"Severely displaced Zone II fracture of sacrum, initial encounter for closed fracture",C2837713
"Severely displaced Zone II fracture of sacrum, initial encounter for open fracture",C2837714
"Unspecified Zone II fracture of sacrum, initial encounter for closed fracture",C2837720
"Unspecified Zone II fracture of sacrum, initial encounter for open fracture",C2837721
"Nondisplaced Zone III fracture of sacrum, initial encounter for closed fracture",C2837729
"Nondisplaced Zone III fracture of sacrum, initial encounter for open fracture",C2837730
"Minimally displaced Zone III fracture of sacrum, initial encounter for closed fracture",C2837736
"Minimally displaced Zone III fracture of sacrum, initial encounter for open fracture",C2837737
"Severely displaced Zone III fracture of sacrum, initial encounter for closed fracture",C2837743
"Severely displaced Zone III fracture of sacrum, initial encounter for open fracture",C2837744
"Unspecified Zone III fracture of sacrum, initial encounter for closed fracture",C2837750
"Unspecified Zone III fracture of sacrum, initial encounter for open fracture",C2837751
"Type 1 fracture of sacrum, initial encounter for closed fracture",C2837758
"Type 1 fracture of sacrum, initial encounter for open fracture",C2837759
"Type 2 fracture of sacrum, initial encounter for closed fracture",C2837766
"Type 2 fracture of sacrum, initial encounter for open fracture",C2837767
"Type 3 fracture of sacrum, initial encounter for closed fracture",C2837774
"Type 3 fracture of sacrum, initial encounter for open fracture",C2837775
"Type 4 fracture of sacrum, initial encounter for closed fracture",C2837782
"Type 4 fracture of sacrum, initial encounter for open fracture",C2837783
"Other fracture of sacrum, initial encounter for closed fracture",C2837789
"Other fracture of sacrum, initial encounter for open fracture",C2837790
"Fracture of coccyx, initial encounter for closed fracture",C2837795
"Fracture of coccyx, initial encounter for open fracture",C2837796
"Unspecified fracture of right ilium, initial encounter for closed fracture",C2837803
"Unspecified fracture of right ilium, initial encounter for open fracture",C2837804
"Unspecified fracture of left ilium, initial encounter for closed fracture",C2837810
"Unspecified fracture of left ilium, initial encounter for open fracture",C2837811
"Unspecified fracture of unspecified ilium, initial encounter for closed fracture",C2837817
"Unspecified fracture of unspecified ilium, initial encounter for open fracture",C2837818
"Displaced avulsion fracture of right ilium, initial encounter for closed fracture",C2837825
"Displaced avulsion fracture of right ilium, initial encounter for open fracture",C2837826
"Displaced avulsion fracture of left ilium, initial encounter for closed fracture",C2837832
"Displaced avulsion fracture of left ilium, initial encounter for open fracture",C2837833
"Displaced avulsion fracture of unspecified ilium, initial encounter for closed fracture",C2837839
"Displaced avulsion fracture of unspecified ilium, initial encounter for open fracture",C2837840
"Nondisplaced avulsion fracture of right ilium, initial encounter for closed fracture",C2837846
"Nondisplaced avulsion fracture of right ilium, initial encounter for open fracture",C2837847
"Nondisplaced avulsion fracture of left ilium, initial encounter for closed fracture",C2837853
"Nondisplaced avulsion fracture of left ilium, initial encounter for open fracture",C2837854
"Nondisplaced avulsion fracture of unspecified ilium, initial encounter for closed fracture",C2837860
"Nondisplaced avulsion fracture of unspecified ilium, initial encounter for open fracture",C2837861
"Other fracture of right ilium, initial encounter for closed fracture",C2837868
"Other fracture of right ilium, initial encounter for open fracture",C2837869
"Other fracture of left ilium, initial encounter for closed fracture",C2837875
"Other fracture of left ilium, initial encounter for open fracture",C2837876
"Other fracture of unspecified ilium, initial encounter for closed fracture",C2837882
"Other fracture of unspecified ilium, initial encounter for open fracture",C2837883
"Unspecified fracture of right acetabulum, initial encounter for closed fracture",C2837890
"Unspecified fracture of right acetabulum, initial encounter for open fracture",C2837891
"Unspecified fracture of left acetabulum, initial encounter for closed fracture",C2837897
"Unspecified fracture of left acetabulum, initial encounter for open fracture",C2837898
"Unspecified fracture of unspecified acetabulum, initial encounter for closed fracture",C2837904
"Unspecified fracture of unspecified acetabulum, initial encounter for open fracture",C2837905
"Displaced fracture of anterior wall of right acetabulum, initial encounter for closed fracture",C2837912
"Displaced fracture of anterior wall of right acetabulum, initial encounter for open fracture",C2837913
"Displaced fracture of anterior wall of left acetabulum, initial encounter for closed fracture",C2837919
"Displaced fracture of anterior wall of left acetabulum, initial encounter for open fracture",C2837920
"Displaced fracture of anterior wall of unspecified acetabulum, initial encounter for closed fracture",C2837926
"Displaced fracture of anterior wall of unspecified acetabulum, initial encounter for open fracture",C2838022
"Nondisplaced fracture of anterior wall of right acetabulum, initial encounter for closed fracture",C2838028
"Nondisplaced fracture of anterior wall of right acetabulum, initial encounter for open fracture",C2838029
"Nondisplaced fracture of anterior wall of left acetabulum, initial encounter for closed fracture",C2838035
"Nondisplaced fracture of anterior wall of left acetabulum, initial encounter for open fracture",C2838036
"Nondisplaced fracture of anterior wall of unspecified acetabulum, initial encounter for closed fracture",C2838042
"Nondisplaced fracture of anterior wall of unspecified acetabulum, initial encounter for open fracture",C2838043
"Displaced fracture of posterior wall of right acetabulum, initial encounter for closed fracture",C2838050
"Displaced fracture of posterior wall of right acetabulum, initial encounter for open fracture",C2838051
"Displaced fracture of posterior wall of left acetabulum, initial encounter for closed fracture",C2838057
"Displaced fracture of posterior wall of left acetabulum, initial encounter for open fracture",C2838058
"Displaced fracture of posterior wall of unspecified acetabulum, initial encounter for closed fracture",C2838064
"Displaced fracture of posterior wall of unspecified acetabulum, initial encounter for open fracture",C2838065
"Nondisplaced fracture of posterior wall of right acetabulum, initial encounter for closed fracture",C2838071
"Nondisplaced fracture of posterior wall of right acetabulum, initial encounter for open fracture",C2838072
"Nondisplaced fracture of posterior wall of left acetabulum, initial encounter for closed fracture",C2838078
"Nondisplaced fracture of posterior wall of left acetabulum, initial encounter for open fracture",C2838079
"Nondisplaced fracture of posterior wall of unspecified acetabulum, initial encounter for closed fracture",C2838085
"Nondisplaced fracture of posterior wall of unspecified acetabulum, initial encounter for open fracture",C2838086
"Displaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for closed fracture",C2838093
"Displaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for open fracture",C2838094
"Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for closed fracture",C2838100
"Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for open fracture",C2838101
"Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for closed fracture",C2838107
"Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for open fracture",C2838108
"Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for closed fracture",C2838114
"Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for open fracture",C2838115
"Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for closed fracture",C2838121
"Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for open fracture",C2838122
"Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for closed fracture",C2838128
"Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for open fracture",C2838129
"Displaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for closed fracture",C2838136
"Displaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for open fracture",C2838137
"Displaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for closed fracture",C2838143
"Displaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for open fracture",C2838144
"Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for closed fracture",C2838150
"Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for open fracture",C2838151
"Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for closed fracture",C2838157
"Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for open fracture",C2838158
"Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for closed fracture",C2838164
"Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for open fracture",C2838165
"Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for closed fracture",C2838171
"Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for open fracture",C2838172
"Displaced transverse fracture of right acetabulum, initial encounter for closed fracture",C2838179
"Displaced transverse fracture of right acetabulum, initial encounter for open fracture",C2838180
"Displaced transverse fracture of left acetabulum, initial encounter for closed fracture",C2838186
"Displaced transverse fracture of left acetabulum, initial encounter for open fracture",C2838187
"Displaced transverse fracture of unspecified acetabulum, initial encounter for closed fracture",C2838193
"Displaced transverse fracture of unspecified acetabulum, initial encounter for open fracture",C2838194
"Nondisplaced transverse fracture of right acetabulum, initial encounter for closed fracture",C2838200
"Nondisplaced transverse fracture of right acetabulum, initial encounter for open fracture",C2838201
"Nondisplaced transverse fracture of left acetabulum, initial encounter for closed fracture",C2838207
"Nondisplaced transverse fracture of left acetabulum, initial encounter for open fracture",C2838208
"Nondisplaced transverse fracture of unspecified acetabulum, initial encounter for closed fracture",C2838214
"Nondisplaced transverse fracture of unspecified acetabulum, initial encounter for open fracture",C2838215
"Displaced associated transverse-posterior fracture of right acetabulum, initial encounter for closed fracture",C2838222
"Displaced associated transverse-posterior fracture of right acetabulum, initial encounter for open fracture",C2838223
"Displaced associated transverse-posterior fracture of left acetabulum, initial encounter for closed fracture",C2838229
"Displaced associated transverse-posterior fracture of left acetabulum, initial encounter for open fracture",C2838230
"Displaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for closed fracture",C2838236
"Displaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for open fracture",C2838237
"Nondisplaced associated transverse-posterior fracture of right acetabulum, initial encounter for closed fracture",C2838243
"Nondisplaced associated transverse-posterior fracture of right acetabulum, initial encounter for open fracture",C2838244
"Nondisplaced associated transverse-posterior fracture of left acetabulum, initial encounter for closed fracture",C2838250
"Nondisplaced associated transverse-posterior fracture of left acetabulum, initial encounter for open fracture",C2838251
"Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for closed fracture",C2838257
"Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for open fracture",C2838258
"Displaced fracture of medial wall of right acetabulum, initial encounter for closed fracture",C2838265
"Displaced fracture of medial wall of right acetabulum, initial encounter for open fracture",C2838266
"Displaced fracture of medial wall of left acetabulum, initial encounter for closed fracture",C2838272
"Displaced fracture of medial wall of left acetabulum, initial encounter for open fracture",C2838273
"Displaced fracture of medial wall of unspecified acetabulum, initial encounter for closed fracture",C2838279
"Displaced fracture of medial wall of unspecified acetabulum, initial encounter for open fracture",C2838280
"Nondisplaced fracture of medial wall of right acetabulum, initial encounter for closed fracture",C2838286
"Nondisplaced fracture of medial wall of right acetabulum, initial encounter for open fracture",C2838287
"Nondisplaced fracture of medial wall of left acetabulum, initial encounter for closed fracture",C2838293
"Nondisplaced fracture of medial wall of left acetabulum, initial encounter for open fracture",C2838294
"Nondisplaced fracture of medial wall of unspecified acetabulum, initial encounter for closed fracture",C2838300
"Nondisplaced fracture of medial wall of unspecified acetabulum, initial encounter for open fracture",C2838301
"Displaced dome fracture of right acetabulum, initial encounter for closed fracture",C2838308
"Displaced dome fracture of right acetabulum, initial encounter for open fracture",C2838309
"Displaced dome fracture of left acetabulum, initial encounter for closed fracture",C2838315
"Displaced dome fracture of left acetabulum, initial encounter for open fracture",C2838316
"Displaced dome fracture of unspecified acetabulum, initial encounter for closed fracture",C2838322
"Displaced dome fracture of unspecified acetabulum, initial encounter for open fracture",C2838323
"Nondisplaced dome fracture of right acetabulum, initial encounter for closed fracture",C2838329
"Nondisplaced dome fracture of right acetabulum, initial encounter for open fracture",C2838330
"Nondisplaced dome fracture of left acetabulum, initial encounter for closed fracture",C2838336
"Nondisplaced dome fracture of left acetabulum, initial encounter for open fracture",C2838337
"Nondisplaced dome fracture of unspecified acetabulum, initial encounter for closed fracture",C2838343
"Nondisplaced dome fracture of unspecified acetabulum, initial encounter for open fracture",C2838344
"Other specified fracture of right acetabulum, initial encounter for closed fracture",C2838351
"Other specified fracture of right acetabulum, initial encounter for open fracture",C2838352
"Other specified fracture of left acetabulum, initial encounter for closed fracture",C2838358
"Other specified fracture of left acetabulum, initial encounter for open fracture",C2838359
"Other specified fracture of unspecified acetabulum, initial encounter for closed fracture",C2838365
"Other specified fracture of unspecified acetabulum, initial encounter for open fracture",C2838366
"Unspecified fracture of right pubis, initial encounter for closed fracture",C2977841
"Unspecified fracture of right pubis, initial encounter for open fracture",C2977842
"Unspecified fracture of left pubis, initial encounter for closed fracture",C2977848
"Unspecified fracture of left pubis, initial encounter for open fracture",C2977849
"Unspecified fracture of unspecified pubis, initial encounter for closed fracture",C2977855
"Unspecified fracture of unspecified pubis, initial encounter for open fracture",C2977856
"Fracture of superior rim of right pubis, initial encounter for closed fracture",C2838379
"Fracture of superior rim of right pubis, initial encounter for open fracture",C2838380
"Fracture of superior rim of left pubis, initial encounter for closed fracture",C2838386
"Fracture of superior rim of left pubis, initial encounter for open fracture",C2838387
"Fracture of superior rim of unspecified pubis, initial encounter for closed fracture",C2838393
"Fracture of superior rim of unspecified pubis, initial encounter for open fracture",C2838394
"Other specified fracture of right pubis, initial encounter for closed fracture",C2977862
"Other specified fracture of right pubis, initial encounter for open fracture",C2977863
"Other specified fracture of left pubis, initial encounter for closed fracture",C2977869
"Other specified fracture of left pubis, initial encounter for open fracture",C2977870
"Other specified fracture of unspecified pubis, initial encounter for closed fracture",C2977876
"Other specified fracture of unspecified pubis, initial encounter for open fracture",C2977877
"Unspecified fracture of right ischium, initial encounter for closed fracture",C2838408
"Unspecified fracture of right ischium, initial encounter for open fracture",C2838409
"Unspecified fracture of left ischium, initial encounter for closed fracture",C2838415
"Unspecified fracture of left ischium, initial encounter for open fracture",C2838416
"Unspecified fracture of unspecified ischium, initial encounter for closed fracture",C2838422
"Unspecified fracture of unspecified ischium, initial encounter for open fracture",C2838423
"Displaced avulsion fracture of right ischium, initial encounter for closed fracture",C2838429
"Displaced avulsion fracture of right ischium, initial encounter for open fracture",C2838430
"Displaced avulsion fracture of left ischium, initial encounter for closed fracture",C2838436
"Displaced avulsion fracture of left ischium, initial encounter for open fracture",C2838437
"Displaced avulsion fracture of unspecified ischium, initial encounter for closed fracture",C2838443
"Displaced avulsion fracture of unspecified ischium, initial encounter for open fracture",C2838444
"Nondisplaced avulsion fracture of right ischium, initial encounter for closed fracture",C2838450
"Nondisplaced avulsion fracture of right ischium, initial encounter for open fracture",C2838451
"Nondisplaced avulsion fracture of left ischium, initial encounter for closed fracture",C2838457
"Nondisplaced avulsion fracture of left ischium, initial encounter for open fracture",C2838458
"Nondisplaced avulsion fracture of unspecified ischium, initial encounter for closed fracture",C2838464
"Nondisplaced avulsion fracture of unspecified ischium, initial encounter for open fracture",C2838465
"Other specified fracture of right ischium, initial encounter for closed fracture",C2838472
"Other specified fracture of right ischium, initial encounter for open fracture",C2838473
"Other specified fracture of left ischium, initial encounter for closed fracture",C2838479
"Other specified fracture of left ischium, initial encounter for open fracture",C2838480
"Other specified fracture of unspecified ischium, initial encounter for closed fracture",C2838486
"Other specified fracture of unspecified ischium, initial encounter for open fracture",C2838487
"Multiple fractures of pelvis with stable disruption of pelvic ring, initial encounter for closed fracture",C2838495
"Multiple fractures of pelvis with stable disruption of pelvic ring, initial encounter for open fracture",C2838496
"Multiple fractures of pelvis with unstable disruption of pelvic ring, initial encounter for closed fracture",C2838502
"Multiple fractures of pelvis with unstable disruption of pelvic ring, initial encounter for open fracture",C2838503
"Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for closed fracture",C3263828
"Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for open fracture",C3263829
"Fracture of other parts of pelvis, initial encounter for closed fracture",C2838508
"Fracture of other parts of pelvis, initial encounter for open fracture",C2838509
"Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for closed fracture",C2838515
"Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for open fracture",C2838516
"Concussion and edema of lumbar spinal cord, initial encounter",C2838605
"Concussion and edema of lumbar spinal cord, subsequent encounter",C2838606
"Concussion and edema of lumbar spinal cord, sequela",C2838607
"Concussion and edema of sacral spinal cord, initial encounter",C2838610
"Concussion and edema of sacral spinal cord, subsequent encounter",C2838611
"Concussion and edema of sacral spinal cord, sequela",C2838612
"Unspecified injury to L1 level of lumbar spinal cord, initial encounter",C2838616
"Unspecified injury to L1 level of lumbar spinal cord, subsequent encounter",C2838617
"Unspecified injury to L1 level of lumbar spinal cord, sequela",C2838618
"Unspecified injury to L2 level of lumbar spinal cord, initial encounter",C2838620
"Unspecified injury to L2 level of lumbar spinal cord, subsequent encounter",C2838621
"Unspecified injury to L2 level of lumbar spinal cord, sequela",C2838622
"Unspecified injury to L3 level of lumbar spinal cord, initial encounter",C2838624
"Unspecified injury to L3 level of lumbar spinal cord, subsequent encounter",C2838625
"Unspecified injury to L3 level of lumbar spinal cord, sequela",C2838626
"Unspecified injury to L4 level of lumbar spinal cord, initial encounter",C2838628
"Unspecified injury to L4 level of lumbar spinal cord, subsequent encounter",C2838629
"Unspecified injury to L4 level of lumbar spinal cord, sequela",C2838630
"Unspecified injury to L5 level of lumbar spinal cord, initial encounter",C2838632
"Unspecified injury to L5 level of lumbar spinal cord, subsequent encounter",C2838633
"Unspecified injury to L5 level of lumbar spinal cord, sequela",C2838634
"Unspecified injury to unspecified level of lumbar spinal cord, initial encounter",C2838636
"Unspecified injury to unspecified level of lumbar spinal cord, subsequent encounter",C2838637
"Unspecified injury to unspecified level of lumbar spinal cord, sequela",C2838638
"Complete lesion of L1 level of lumbar spinal cord, initial encounter",C2838641
"Complete lesion of L1 level of lumbar spinal cord, subsequent encounter",C2838642
"Complete lesion of L1 level of lumbar spinal cord, sequela",C2838643
"Complete lesion of L2 level of lumbar spinal cord, initial encounter",C2838645
"Complete lesion of L2 level of lumbar spinal cord, subsequent encounter",C2838646
"Complete lesion of L2 level of lumbar spinal cord, sequela",C2838647
"Complete lesion of L3 level of lumbar spinal cord, initial encounter",C2838649
"Complete lesion of L3 level of lumbar spinal cord, subsequent encounter",C2838650
"Complete lesion of L3 level of lumbar spinal cord, sequela",C2838651
"Complete lesion of L4 level of lumbar spinal cord, initial encounter",C2838653
"Complete lesion of L4 level of lumbar spinal cord, subsequent encounter",C2838654
"Complete lesion of L4 level of lumbar spinal cord, sequela",C2838655
"Complete lesion of L5 level of lumbar spinal cord, initial encounter",C2838657
"Complete lesion of L5 level of lumbar spinal cord, subsequent encounter",C2838658
"Complete lesion of L5 level of lumbar spinal cord, sequela",C2838659
"Complete lesion of unspecified level of lumbar spinal cord, initial encounter",C2838661
"Complete lesion of unspecified level of lumbar spinal cord, subsequent encounter",C2838662
"Complete lesion of unspecified level of lumbar spinal cord, sequela",C2838663
"Incomplete lesion of L1 level of lumbar spinal cord, initial encounter",C2838666
"Incomplete lesion of L1 level of lumbar spinal cord, subsequent encounter",C2838667
"Incomplete lesion of L1 level of lumbar spinal cord, sequela",C2838668
"Incomplete lesion of L2 level of lumbar spinal cord, initial encounter",C2838670
"Incomplete lesion of L2 level of lumbar spinal cord, subsequent encounter",C2838671
"Incomplete lesion of L2 level of lumbar spinal cord, sequela",C2838672
"Incomplete lesion of L3 level of lumbar spinal cord, initial encounter",C2838674
"Incomplete lesion of L3 level of lumbar spinal cord, subsequent encounter",C2838675
"Incomplete lesion of L3 level of lumbar spinal cord, sequela",C2838676
"Incomplete lesion of L4 level of lumbar spinal cord, initial encounter",C2838678
"Incomplete lesion of L4 level of lumbar spinal cord, subsequent encounter",C2838679
"Incomplete lesion of L4 level of lumbar spinal cord, sequela",C2838680
"Incomplete lesion of L5 level of lumbar spinal cord, initial encounter",C2838682
"Incomplete lesion of L5 level of lumbar spinal cord, subsequent encounter",C2838683
"Incomplete lesion of L5 level of lumbar spinal cord, sequela",C2838684
"Incomplete lesion of unspecified level of lumbar spinal cord, initial encounter",C2838686
"Incomplete lesion of unspecified level of lumbar spinal cord, subsequent encounter",C2838687
"Incomplete lesion of unspecified level of lumbar spinal cord, sequela",C2838688
"Complete lesion of sacral spinal cord, initial encounter",C2838693
"Complete lesion of sacral spinal cord, subsequent encounter",C2838694
"Complete lesion of sacral spinal cord, sequela",C2838695
"Incomplete lesion of sacral spinal cord, initial encounter",C2838698
